data;hora;Número do pedido;Produto;Valor total de itens;forma de pagamento
01/05/2026;18:02:02;0745;X-Tudo (Artesanal 150g),2xX-Tudo (Artesanal 150g),X-Tudo (Padrão);86,60;Cartão de Crédito
01/05/2026;18:08:23;0241;X-Completo (Padrão),Filé bacon;42,80;Cartão de Crédito
01/05/2026;18:13:20;0067;X-Tudo (Artesanal 150g),Frango completo,Molho de alho;49,70;Dinheiro
01/05/2026;18:14:53;0770;X-Tudo (Artesanal 150g),Frango salada;39,80;Cartão de Débito
01/05/2026;18:20:03;0618;X-Completo (Artesanal 150g),Lombo completo;50,80;Cartão de Crédito
01/05/2026;18:29:53;0013;Molho da casa;1,90;Cartão de Débito
01/05/2026;18:33:05;0863;2xMolho da casa,Filé Completo,Frango salada;49,60;Cartão de Débito
01/05/2026;18:46:26;0028;Lombo bacon;15,90;Cartão de Débito
01/05/2026;18:47:39;0418;Filé salada,X-Bacon (Padrão),Lombo bacon,Cerveja Lata;58,60;Cartão de Débito
01/05/2026;19:03:57;0534;Lombo bacon,Batata frita grande,3xFrango completo;103,50;Cartão de Débito
01/05/2026;19:04:15;0835;3xFrango salada;50,70;Pix
01/05/2026;19:09:33;0521;X-Salada (Artesanal 150g),2xFrango completo;78,70;Cartão de Débito
01/05/2026;19:21:12;0637;Batata frita grande,X-Completo (Padrão),Lombo salada;54,70;Cartão de Débito
01/05/2026;19:23:11;0122;Lombo tudo;17,90;Cartão de Crédito
01/05/2026;19:23:32;0013;X-Bacon (Padrão),2xLombo salada,Filé bacon,Molho de alho;69,50;Dinheiro
01/05/2026;19:28:46;0505;Refrigerante lata,X-Salada (Artesanal 150g),Lombo completo;57,70;Cartão de Crédito
01/05/2026;19:30:43;0112;Frango tudo,Lombo completo;42,80;Pix
01/05/2026;19:41:59;0861;X-Completo (Artesanal 150g),Filé Completo,Molho de alho,Frango completo;81,60;Pix
01/05/2026;19:47:30;0423;X-Salada (Artesanal 150g),X-Salada (Padrão);45,80;Pix
01/05/2026;20:03:14;0431;X-Bacon (Padrão),Filé tudo,X-Salada (Artesanal 150g),Batata frita pequena;74,60;Cartão de Crédito
01/05/2026;20:04:37;0762;Filé Completo,X-Tudo (Padrão);46,80;Cartão de Débito
01/05/2026;20:11:03;0973;Frango bacon,Lombo tudo,Molho da casa,Molho da casa;37,60;Pix
01/05/2026;20:11:33;0344;2xX-Bacon (Artesanal 150g);41,80;Pix
01/05/2026;20:15:18;0518;Filé salada,X-Completo (Padrão),Molho da casa;46,70;Cartão de Débito
01/05/2026;20:18:10;0010;Filé tudo,Batata frita pequena;29,80;Pix
01/05/2026;20:19:40;0856;X-Tudo (Artesanal 150g),Frango salada;39,80;Pix
01/05/2026;20:21:32;0128;Frango salada,Lombo bacon,Refrigerante lata;36,70;Cartão de Crédito
01/05/2026;20:22:12;0335;Lombo bacon,Molho da casa;17,80;Cartão de Débito
01/05/2026;20:24:51;0841;Batata frita pequena,X-Completo (Artesanal 150g),X-Bacon (Padrão);50,70;Cartão de Débito
01/05/2026;20:27:51;0276;Lombo tudo,X-Tudo (Artesanal 150g),Molho de alho,Frango completo;67,60;Pix
01/05/2026;20:29:39;0274;Molho da casa,X-Bacon (Artesanal 150g);22,80;Pix
01/05/2026;20:31:34;0819;Lombo bacon,Cerveja Lata,X-Completo (Padrão);47,70;Pix
01/05/2026;20:33:32;0208;Lombo bacon;15,90;Dinheiro
01/05/2026;20:35:02;0747;Refrigerante lata,Frango bacon;19,80;Cartão de Crédito
01/05/2026;20:40:30;0527;Lombo bacon;15,90;Cartão de Débito
01/05/2026;20:42:30;0125;2xRefrigerante litro;15,80;Pix
01/05/2026;20:44:28;0859;X-Bacon (Artesanal 150g);20,90;Cartão de Débito
01/05/2026;20:46:53;0590;Filé bacon;17,90;Dinheiro
01/05/2026;20:51:18;0669;Batata frita grande,Frango tudo,Filé bacon,X-Tudo (Artesanal 150g);71,60;Pix
01/05/2026;20:51:20;0839;X-Salada (Artesanal 150g),Frango completo,3xFilé Completo;140,50;Cartão de Débito
01/05/2026;20:53:51;0602;Lombo tudo,X-Completo (Padrão),Lombo salada,Lombo bacon;75,60;Cartão de Crédito
01/05/2026;21:05:38;0032;Cerveja Lata;6,90;Pix
01/05/2026;21:05:43;0193;Filé Completo;28,90;Cartão de Débito
01/05/2026;21:12:58;0203;Batata frita pequena;8,90;Cartão de Débito
01/05/2026;21:18:30;0043;X-Bacon (Padrão),Cerveja Lata,X-Salada (Padrão),Filé bacon;57,60;Pix
01/05/2026;21:20:13;0271;X-Bacon (Artesanal 150g),2xRefrigerante litro;36,70;Cartão de Crédito
01/05/2026;21:29:58;0137;Molho da casa,2xX-Tudo (Artesanal 150g);47,70;Dinheiro
01/05/2026;21:44:07;0418;Lombo salada,Lombo tudo;34,80;Pix
01/05/2026;21:44:11;0931;2xFrango completo;49,80;Cartão de Crédito
01/05/2026;22:02:03;0455;X-Salada (Padrão),Filé tudo,Frango completo;62,70;Dinheiro
01/05/2026;22:09:25;0649;Lombo completo,X-Tudo (Artesanal 150g);47,80;Dinheiro
01/05/2026;22:22:37;0596;2xFrango salada,Lombo bacon;49,70;Cartão de Crédito
01/05/2026;22:28:46;0391;X-Tudo (Padrão);17,90;Cartão de Débito
01/05/2026;22:34:38;0389;Batata frita pequena;8,90;Pix
01/05/2026;22:40:26;0772;X-Tudo (Artesanal 150g),Cerveja Lata;29,80;Cartão de Crédito
01/05/2026;22:43:55;0525;X-Salada (Artesanal 150g),Lombo tudo;46,80;Cartão de Crédito
01/05/2026;22:44:43;0308;Batata frita pequena;8,90;Pix
01/05/2026;22:55:53;0627;Filé bacon,Frango completo,Filé tudo;63,70;Dinheiro
01/05/2026;22:56:42;0882;2xRefrigerante litro,X-Bacon (Artesanal 150g);36,70;Dinheiro
01/05/2026;22:58:52;0812;X-Tudo (Padrão);17,90;Cartão de Crédito
01/05/2026;23:07:05;0312;X-Completo (Artesanal 150g),X-Tudo (Artesanal 150g),Frango salada;65,70;Cartão de Crédito
01/05/2026;23:16:49;0331;Filé Completo,Refrigerante litro,2xBatata frita grande,3xFrango bacon;110,30;Pix
01/05/2026;23:22:51;0810;X-Bacon (Artesanal 150g),Batata frita grande;33,80;Pix
01/05/2026;23:24:30;0119;3xX-Bacon (Padrão),X-Salada (Padrão),Lombo tudo;82,50;Pix
01/05/2026;23:44:27;0416;Batata frita pequena,Frango completo,X-Tudo (Artesanal 150g);56,70;Cartão de Crédito
01/05/2026;23:49:17;0038;Lombo completo,X-Salada (Artesanal 150g),Refrigerante lata,Filé Completo;86,60;Cartão de Crédito
01/05/2026;23:51:49;0620;Refrigerante lata;3,90;Pix
01/05/2026;23:52:55;0602;X-Tudo (Artesanal 150g),Frango tudo,X-Tudo (Padrão),X-Tudo (Artesanal 150g);81,60;Cartão de Débito
01/05/2026;23:55:10;0017;Lombo salada,X-Tudo (Padrão);34,80;Cartão de Crédito
01/05/2026;23:55:52;0107;X-Tudo (Padrão),2xX-Tudo (Artesanal 150g),2xX-Completo (Artesanal 150g);115,50;Cartão de Crédito
02/05/2026;18:03:23;0647;Lombo tudo,Filé Completo,Molho de alho;48,70;Cartão de Débito
02/05/2026;18:04:35;0569;Refrigerante litro,Molho da casa;9,80;Cartão de Débito
02/05/2026;18:06:10;0601;2xFilé salada;39,80;Cartão de Débito
02/05/2026;18:08:30;0843;Refrigerante lata,Lombo salada;20,80;Pix
02/05/2026;18:21:25;0677;2xFrango completo,2xMolho de alho,2xX-Salada (Padrão);87,40;Dinheiro
